skill, wiki_page, average_views
microsoft excel,  Microsoft_Excel,  3550
microsoft onenote,  Microsoft_OneNote,  883
microsoft outlook,  Microsoft_Outlook,  1445
microsoft powerpoint,  Microsoft_PowerPoint,  1929
microsoft project,  Microsoft_Project,  1152
microsoft publisher,  Microsoft_Publisher,  933
microsoft visio,  Microsoft_Visio,  1187
microsoft word,  Microsoft_Word,  3318
wimax,  WiMAX,  955
modis,  Moderate-resolution_imaging_spectroradiometer,  89
ms-dos,  MS-DOS,  1535
mysql,  MySQL,  2301
netware,  NetWare,  232
objective-c,  Objective-C,  1020
ofdm system,  Orthogonal_frequency-division_multiplexing,  693
office,  Office,  571
openmp,  OpenMP,  445
oracle database,  Oracle_Database,  1482
outlook,  Microsoft_Outlook,  1445
pentium,  Pentium,  800
perl,  Perl,  1382
photoshop,  Adobe_Photoshop,  3351
php,  PHP,  4263
planetlab,  PlanetLab,  13
pocket pc,  Pocket_PC,  207
powerpc,  PowerPC,  680
prolog,  Prolog,  906
python,  Python_(programming_language),  6325
quarkxpress,  QuarkXPress,  222
quickbooks,  QuickBooks,  624
quicken,  Quicken,  270
quicktime,  QuickTime,  653
r,  R_(programming_language),  3516
ruby,  Ruby_(programming_language),  1841
ruby on rails,  Ruby_on_Rails,  1475
rust,  Rust_(programming_language),  971
risc processors,  Reduced_instruction_set_computing,  640
samba,  Samba_(software),  433
scala,  Scala_(programming_language),  1465
selinux,  Security-Enhanced_Linux,  526
sharepoint,  SharePoint,  1668
simd architectures,  SIMD,  502
simulink,  Simulink,  255
smalltalk,  Smalltalk,  663
short message service,  Short_Message_Service,  1458
snmp,  Simple_Network_Management_Protocol,  1562
solaris,  Solaris_(operating_system),  1193
sonet,  Synchronous_optical_networking,  567
sparc,  SPARC,  454
sql server,  Microsoft_SQL_Server,  2478
sql,  SQL,  3748
secure sockets layer,  Transport_Layer_Security,  4698
swift,  Swift_(programming_language),  1545
tms320c,  Texas_Instruments_TMS320,  101
transport layer security,  Transport_Layer_Security,  4698
trec,  Text_Retrieval_Conference,  30
umts,  UMTS_(telecommunication),  471
unicode,  Unicode,  2328
usenet,  Usenet,  1130
uwb,  UWB,  6
vba,  Visual_Basic_for_Applications,  808
vhdl,  VHDL,  660
visual,  Visual_system,  516
visual basic,  Visual_Basic,  1936
vmware,  VMware,  1947
voicexml,  VoiceXML,  108
vrml,  VRML,  230
windows environment,  Environment_variable,  705
wordnet,  WordNet,  219
x-window,  X_Window_System,  990
x3d,  X3D,  206
xilinx,  Xilinx,  373
zigbee,  ZigBee,  1306
operating systems,  Operating_system,  6451
apple operating system,  Macintosh_operating_systems,  367
ibm operating system,  Category:IBM_operating_systems,  19
linux,  Linux,  6154
windows operating system,  Microsoft_Windows,  6453
unix operating system,  Unix,  2759
web development, Front-end_web_development, 350
